Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,75.519997,78.660004,75.519997,77.440002,45.981941,5781100
2008-09-03,77.790001,79.970001,76.180000,79.500000,47.205135,6598900
2008-09-04,79.309998,79.309998,76.699997,76.959999,45.696930,4909000
2008-09-05,76.190002,78.739998,75.019997,78.739998,46.753849,4699400
2008-09-08,84.440002,87.209999,82.139999,84.919998,50.423378,10161800
2008-09-09,84.400002,85.500000,79.760002,79.800003,47.383251,8494300
2008-09-10,80.129997,81.889999,78.139999,79.779999,47.371368,5304800
2008-09-11,79.019997,82.500000,77.150002,82.260002,48.843948,6106900
2008-09-12,81.779999,81.930000,79.680000,80.589996,47.852329,6480400
2008-09-15,76.800003,79.980003,72.540001,72.540001,43.072445,9982000
2008-09-16,70.239998,79.900002,70.099998,79.180000,47.015114,9352600
2008-09-17,75.120003,78.529999,73.339996,73.959999,43.915607,8397000
2008-09-18,75.320000,83.989998,70.339996,83.989998,49.871181,11919900
2008-09-19,88.220001,89.820000,80.839996,86.250000,51.213097,7481500
2008-09-22,85.000000,85.089996,77.510002,77.760002,46.171947,3318000
2008-09-23,79.510002,80.000000,73.970001,74.720001,44.366882,3370500
2008-09-24,76.989998,76.989998,73.010002,73.379997,43.571209,2587900
2008-09-25,75.370003,77.419998,73.180000,74.070000,43.980919,3155700
2008-09-26,74.000000,76.500000,71.919998,73.519997,43.654343,2996600
2008-09-29,74.519997,74.519997,64.750000,64.750000,38.446941,4902900
2008-09-30,66.570000,74.150002,66.519997,72.000000,42.751812,3946400
2008-10-01,70.349998,70.410004,61.700001,64.800003,38.476627,5611300
2008-10-02,65.489998,65.489998,57.230000,57.650002,34.231129,6062900
2008-10-03,62.000000,64.370003,55.299999,55.869999,33.174221,6018400
2008-10-06,56.000000,56.000000,48.209999,52.200001,30.995073,4889600
2008-10-07,52.470001,53.880001,46.509998,46.509998,27.616472,5878400
2008-10-08,45.939999,47.790001,41.160000,43.290001,25.704525,7826700
2008-10-09,44.310001,50.990002,25.510000,33.270000,19.754904,29541900
2008-10-10,31.420000,39.020000,31.299999,36.130001,21.453100,17118500
2008-10-13,40.840000,51.410000,39.779999,49.950001,29.659065,12518500
2008-10-14,52.990002,56.910000,51.230000,54.099998,32.123234,9546500
2008-10-15,52.669998,54.000000,44.590000,46.029999,27.331474,7794400
2008-10-16,47.060001,48.230000,35.470001,41.250000,24.493227,14096400
2008-10-17,39.009998,44.299999,37.500000,41.779999,24.807922,7362700
2008-10-20,38.959999,41.549999,37.180000,41.150002,24.433844,8832800
2008-10-21,40.230000,40.830002,37.959999,37.959999,22.539703,6901500
2008-10-22,36.970001,37.250000,32.410000,33.750000,20.039917,6754200
2008-10-23,33.360001,34.400002,30.250000,32.450001,19.268005,7185000
2008-10-24,29.100000,35.910000,28.809999,34.459999,20.461494,10037300
2008-10-27,33.970001,35.759998,32.250000,32.250000,19.149244,6857000
2008-10-28,34.459999,36.689999,31.049999,36.500000,21.672791,6365400
2008-10-29,35.610001,37.889999,33.490002,35.250000,20.930573,5896600
2008-10-30,36.200001,37.779999,26.110001,28.870001,17.142286,20114100
2008-10-31,29.660000,30.940001,23.059999,30.000000,17.813257,20491500
