Date,Open,High,Low,Close,Adj Close,Volume
2008-09-02,18.311195,18.567362,18.149904,18.187857,10.415811,31499739
2008-09-03,18.187857,18.368120,18.074003,18.216318,10.432111,31942840
2008-09-04,18.216318,18.586338,17.703985,17.713472,10.144139,48982331
2008-09-05,17.666035,17.874763,17.504744,17.561670,10.057206,43230653
2008-09-08,17.874763,18.206831,17.798861,18.159393,10.399509,51586660
2008-09-09,18.074003,18.197344,17.305504,17.305504,9.910502,57656330
2008-09-10,17.333965,17.504744,17.172676,17.267551,9.888767,40340691
2008-09-11,17.077799,17.476280,17.058825,17.447819,9.992002,35123074
2008-09-12,17.352942,17.760912,17.267551,17.666035,10.116974,45601837
2008-09-15,17.182163,17.580645,17.125237,17.125237,9.807269,70913752
2008-09-16,16.793169,17.115749,16.603416,16.897533,9.676870,90663077
2008-09-17,16.679317,17.191650,16.280834,16.290323,9.329130,77106740
2008-09-18,16.527514,17.390892,16.423149,17.068312,9.774671,100860738
2008-09-19,17.931688,18.017078,16.793169,17.599621,10.078940,84602050
2008-09-22,17.362429,17.694496,17.096773,17.144213,9.818133,48895692
2008-09-23,17.267551,17.552181,17.087288,17.087288,9.785537,64492890
2008-09-24,17.229603,17.258064,16.840607,17.068312,9.774671,41627414
2008-09-25,17.172676,17.827324,17.163189,17.685009,10.127841,60741704
2008-09-26,17.371918,17.760912,17.277040,17.703985,10.138703,39623338
2008-09-29,17.343454,17.703985,16.745731,16.745731,9.589935,76041568
2008-09-30,17.011385,17.495256,16.840607,17.495256,10.019171,79606301
2008-10-01,17.324478,18.111954,17.153700,17.969639,10.290839,72001059
2008-10-02,17.855787,18.178368,17.741936,17.827324,10.209340,62354640
2008-10-03,17.960152,18.396584,17.865274,18.026566,10.323439,81787660
2008-10-06,17.552181,17.979128,16.859583,17.969639,10.290839,109054956
2008-10-07,17.931688,18.026566,16.745731,16.745731,9.589935,99843207
2008-10-08,16.480076,17.125237,16.252373,16.252373,9.307396,118302752
2008-10-09,16.413662,16.489565,14.696395,14.867173,8.514122,97290840
2008-10-10,14.070209,15.085389,13.576850,14.364326,8.226154,156874936
2008-10-13,15.626186,16.043644,15.066414,15.825427,9.062894,112017012
2008-10-14,16.499050,16.603416,15.948767,16.252373,9.307396,89311428
2008-10-15,16.404175,16.404175,15.332068,15.436433,8.840128,75430880
2008-10-16,15.702087,16.119545,14.810247,16.100569,9.220462,86337883
2008-10-17,15.588235,16.631880,15.407970,16.043644,9.187862,74003448
2008-10-20,16.366224,16.593927,15.996205,16.451612,9.421497,56865619
2008-10-21,16.764706,17.030361,16.432638,16.451612,9.421497,75031520
2008-10-22,16.176472,16.375711,15.654649,15.882353,9.095496,72630086
2008-10-23,16.024668,16.366224,15.275142,16.223909,9.291094,70038300
2008-10-24,15.094877,16.157495,14.876660,15.721063,9.003127,68491239
2008-10-27,15.464896,16.356735,15.218216,15.550285,8.905325,66932057
2008-10-28,15.825427,17.077799,15.275142,16.907021,9.682302,89177886
2008-10-29,16.669828,17.191650,16.252373,16.309298,9.339996,69856907
2008-10-30,16.916510,17.115749,16.432638,16.944971,9.704034,59994734
2008-10-31,16.850096,17.314991,16.698292,16.802656,9.622531,63854166
